term_str,n,n_chars,p,s,i,h
the,35986,3,0.06937849316837963,14.41368865669983,3.849367682706403,0.2670633294772275
and,20442,3,0.039410747439226824,25.37378925741121,4.665267078800871,0.18386166257916062
of,19668,2,0.037918529529141626,26.372330689444784,4.720953171797759,0.17901160225050813
to,11026,2,0.02125735746330667,47.042535824415026,5.555893925527262,0.11810362320314713
a,10271,1,0.01980177022543287,50.500535488267936,5.658226780616601,0.11204290659316068
in,9158,2,0.017655984005891755,56.63802140205285,5.823698961944826,0.10282313572722628
i,7439,1,0.01434187213581882,69.72590401935744,6.123622829279551,0.08782421562550839
was,6948,3,0.013395258448671753,74.65328151986184,6.222133772907981,0.08334708999031147
that,6947,4,0.013393330518555364,74.66402763782928,6.2223414296252715,0.08333787536627156
had,5871,3,0.011318877713320647,88.34798160449668,6.465125270270414,0.07317796233548991
he,4989,2,0.009618443350665425,103.96692723992784,6.699980857609948,0.06444338632946403
it,4591,2,0.008851127164342547,112.9799607928556,6.819923094906008,0.06036400656404966
with,3910,4,0.007538206755081542,132.65754475703324,7.051562919423659,0.05315613923308194
as,3794,2,0.007314566861580401,136.7134949920928,7.095011848206898,0.05189693854741449
his,3465,3,0.006680277853288374,149.6943722943723,7.225876174593798,0.048270860579743065
for,3165,3,0.0061018988183716314,163.8834123222749,7.35652602730267,0.04488877747331831
at,3113,2,0.006001646452319397,166.62094442659813,7.380425950149194,0.04429470722031892
from,3098,4,0.005972727500573559,167.42769528728212,7.387394382828805,0.044122893587904236
on,3062,2,0.00590332201638355,169.3961463096016,7.404257244118586,0.043709714804172635
which,3009,5,0.005801141720214926,172.37986041874376,7.429447420285037,0.043099277387958684
but,2900,3,0.005590997337528509,178.8589655172414,7.482678626716076,0.041835636279551065
not,2852,3,0.005498456691941831,181.86921458625525,7.5067575451744855,0.04127558125904948
my,2733,2,0.0052690330080915225,189.788144895719,7.568246067095167,0.039877338340883285
were,2590,4,0.004993339001447875,200.26679536679538,7.645779429044457,0.03817796861951556
by,2150,2,0.004145049750236654,241.25162790697672,7.91439486714155,0.032805560467319334
