title,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,polarity
a garden,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.07142857142857142,0.07142857142857142,-0.21428571428571427
an american to mother england,0.13513513513513514,0.4594594594594595,0.10810810810810811,0.24324324324324326,0.5945945945945946,0.16216216216216217,0.2702702702702703,0.5135135135135135,0.3783783783783784
arcadia,0.2,0.6,0.2,0.2,0.6,0.4,0.2,0.6,0.4
astrophobos,0.16666666666666666,0.3333333333333333,0.19444444444444445,0.2222222222222222,0.4722222222222222,0.16666666666666666,0.05555555555555555,0.3611111111111111,0.19444444444444445
at the mountains of madness,0.25265486725663716,0.25442477876106195,0.1911504424778761,0.37964601769911505,0.20398230088495575,0.32610619469026547,0.17345132743362832,0.31902654867256636,-0.134070796460177
azathoth,0.36,0.4,0.24,0.4,0.28,0.44,0.08,0.2,-0.12
beyond the wall of sleep,0.24381625441696114,0.26501766784452296,0.17667844522968199,0.3498233215547703,0.27208480565371024,0.30742049469964666,0.14487632508833923,0.36042402826855124,0.0035335689045936395
celephais,0.24793388429752067,0.39669421487603307,0.12396694214876033,0.2644628099173554,0.512396694214876,0.2396694214876033,0.19008264462809918,0.36363636363636365,0.1652892561983471
christmas,0.0,0.75,0.0,0.0,1.0,0.25,0.0,0.5,1.0
cool air,0.30357142857142855,0.24553571428571427,0.25892857142857145,0.3705357142857143,0.22321428571428573,0.3392857142857143,0.13839285714285715,0.3125,-0.26339285714285715
dagon,0.23129251700680273,0.30612244897959184,0.2108843537414966,0.42857142857142855,0.2585034013605442,0.3469387755102041,0.17687074829931973,0.2925170068027211,-0.20408163265306123
dead passion's flame,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0
despair,0.4166666666666667,0.19444444444444445,0.2777777777777778,0.4444444444444444,0.25,0.4444444444444444,0.08333333333333333,0.1111111111111111,-0.3888888888888889
ex oblivione,0.275,0.275,0.225,0.45,0.4,0.425,0.175,0.425,-0.15
fact and fancy,0.2,0.36,0.12,0.12,0.52,0.36,0.24,0.4,0.2
facts concerning the late arthur jermyn and his family,0.26881720430107525,0.25806451612903225,0.2724014336917563,0.3727598566308244,0.2867383512544803,0.26881720430107525,0.15412186379928317,0.40860215053763443,0.021505376344086023
festival,0.4117647058823529,0.23529411764705882,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.23529411764705882,0.35294117647058826,-0.23529411764705882
from beyond,0.3372093023255814,0.23837209302325582,0.25,0.47674418604651164,0.23255813953488372,0.313953488372093,0.1744186046511628,0.3023255813953488,-0.22093023255813954
fungi from yuggoth,0.29098360655737704,0.21721311475409835,0.28688524590163933,0.39344262295081966,0.22131147540983606,0.3237704918032787,0.11065573770491803,0.22540983606557377,-0.3360655737704918
hallowe'en in a suburb,0.35294117647058826,0.23529411764705882,0.23529411764705882,0.47058823529411764,0.11764705882352941,0.35294117647058826,0.29411764705882354,0.11764705882352941,-0.5294117647058824
he,0.2581967213114754,0.28688524590163933,0.19262295081967212,0.35655737704918034,0.3155737704918033,0.319672131147541,0.1598360655737705,0.28688524590163933,-0.13114754098360656
herbert west: reanimator,0.262208067940552,0.24203821656050956,0.26857749469214437,0.5,0.17834394904458598,0.3535031847133758,0.17834394904458598,0.28768577494692144,-0.23036093418259024
hypnos,0.23923444976076555,0.21052631578947367,0.17703349282296652,0.3923444976076555,0.35406698564593303,0.2679425837320574,0.11004784688995216,0.3588516746411483,-0.03349282296650718
imprisoned with the pharaohs,0.2785923753665689,0.22434017595307917,0.24633431085043989,0.46187683284457476,0.20234604105571846,0.34457478005865105,0.12316715542521994,0.2653958944281525,-0.25806451612903225
in a sequester’d providence churchyard where once poe walk’d,0.16666666666666666,0.5,0.16666666666666666,0.5,0.0,0.6666666666666666,0.3333333333333333,0.0,-0.6666666666666666
in the vault,0.3735408560311284,0.19066147859922178,0.33073929961089493,0.5525291828793775,0.14396887159533073,0.39299610894941633,0.13618677042801555,0.22178988326848248,-0.44357976653696496
laeta; a lament,0.05555555555555555,0.3888888888888889,0.027777777777777776,0.16666666666666666,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.4722222222222222,0.5
life’s mystery,0.25,0.5,0.25,0.75,0.5,0.5,0.25,0.5,0.0
lines on gen. robert edward lee,0.26,0.32,0.18,0.3,0.44,0.32,0.2,0.44,0.04
medusa's coil,0.2802030456852792,0.2467005076142132,0.27106598984771574,0.39593908629441626,0.24974619289340103,0.350253807106599,0.16954314720812183,0.30253807106598984,-0.21116751269035533
memory,0.48,0.08,0.48,0.48,0.12,0.68,0.2,0.16,-0.76
nathicana,0.25925925925925924,0.4074074074074074,0.2037037037037037,0.35185185185185186,0.3888888888888889,0.4074074074074074,0.12962962962962962,0.25925925925925924,-0.018518518518518517
nemesis,0.42105263157894735,0.15789473684210525,0.15789473684210525,0.5789473684210527,0.23684210526315788,0.42105263157894735,0.23684210526315788,0.23684210526315788,-0.4473684210526316
nyarlathotep,0.2839506172839506,0.14814814814814814,0.2716049382716049,0.5555555555555556,0.14814814814814814,0.5185185185185185,0.09876543209876543,0.16049382716049382,-0.5185185185185185
"ode for july fourth, 1917",0.375,0.25,0.125,0.25,0.4375,0.375,0.1875,0.5,0.0
on reading lord dunsany’s book of wonder,0.5,0.5,0.5,0.75,0.25,0.5,0.75,0.25,-0.5
on receiving a picture of swans,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.5,0.0,0.5,0.0
pacifist war song—1917,0.47619047619047616,0.19047619047619047,0.19047619047619047,0.38095238095238093,0.38095238095238093,0.3333333333333333,0.09523809523809523,0.3333333333333333,-0.19047619047619047
pickman's model,0.3127147766323024,0.24054982817869416,0.2611683848797251,0.41237113402061853,0.2508591065292096,0.2920962199312715,0.18900343642611683,0.281786941580756,-0.19931271477663232
"poemata minora, volume ii",0.15555555555555556,0.4,0.1111111111111111,0.4,0.4,0.35555555555555557,0.08888888888888889,0.4,0.08888888888888889
poetry and the gods,0.18699186991869918,0.34959349593495936,0.07317073170731707,0.22764227642276422,0.45528455284552843,0.3008130081300813,0.10569105691056911,0.34959349593495936,0.25203252032520324
polaris,0.2366412213740458,0.25190839694656486,0.24427480916030533,0.45038167938931295,0.32061068702290074,0.2748091603053435,0.13740458015267176,0.32061068702290074,-0.1297709923664122
providence,0.3,0.3,0.15,0.35,0.4,0.3,0.1,0.15,-0.05
psychopompos,0.2605633802816901,0.2605633802816901,0.2323943661971831,0.49295774647887325,0.22535211267605634,0.33098591549295775,0.20774647887323944,0.2992957746478873,-0.28169014084507044
revelation,0.11428571428571428,0.4,0.05714285714285714,0.2857142857142857,0.5142857142857142,0.2571428571428571,0.2,0.22857142857142856,0.17142857142857143
sunset,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.0,0.0,0.42857142857142855,0.42857142857142855
the alchemist,0.35785953177257523,0.2040133779264214,0.27759197324414714,0.5317725752508361,0.18394648829431437,0.44816053511705684,0.1505016722408027,0.22408026755852842,-0.35451505016722407
the ancient track,0.4375,0.1875,0.1875,0.375,0.3125,0.375,0.125,0.3125,-0.375
the beast in the cave,0.2616822429906542,0.22429906542056074,0.22429906542056074,0.4532710280373832,0.205607476635514,0.3317757009345794,0.14953271028037382,0.27102803738317754,-0.21495327102803738
the book,0.24561403508771928,0.2807017543859649,0.24561403508771928,0.47368421052631576,0.17543859649122806,0.2807017543859649,0.12280701754385964,0.2807017543859649,-0.3157894736842105
the call of cthulhu,0.2822384428223844,0.22506082725060828,0.22627737226277372,0.44282238442822386,0.21776155717761558,0.28102189781021897,0.16909975669099755,0.305352798053528,-0.19464720194647203
the case of charles dexter ward,0.27016262860935947,0.2509127115831397,0.1865250580816462,0.3923000331895121,0.25058081646199803,0.30302024560238966,0.17889147029538666,0.33587786259541985,-0.1072021241287753
the cats,0.5,0.1111111111111111,0.3333333333333333,0.5,0.16666666666666666,0.4444444444444444,0.1111111111111111,0.16666666666666666,-0.6666666666666666
the cats of ulthar,0.25,0.17857142857142858,0.23809523809523808,0.3333333333333333,0.3333333333333333,0.38095238095238093,0.15476190476190477,0.36904761904761907,-0.16666666666666666
the city,0.25,0.5,0.16666666666666666,0.4166666666666667,0.4583333333333333,0.25,0.125,0.3333333333333333,0.08333333333333333
the colour out of space,0.30092592592592593,0.2345679012345679,0.27314814814814814,0.4305555555555556,0.20679012345679013,0.38271604938271603,0.16203703703703703,0.24845679012345678,-0.38580246913580246
the conscript,0.18181818181818182,0.13636363636363635,0.18181818181818182,0.4090909090909091,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.18181818181818182,-0.3181818181818182
the crawling chaos,0.32547169811320753,0.25471698113207547,0.28773584905660377,0.4811320754716981,0.30660377358490565,0.3443396226415094,0.14622641509433962,0.23113207547169812,-0.22169811320754718
the descendant,0.22826086956521738,0.1956521739130435,0.29347826086956524,0.42391304347826086,0.31521739130434784,0.29347826086956524,0.18478260869565216,0.40217391304347827,-0.05434782608695652
the doom that came to sarnath,0.2733812949640288,0.2446043165467626,0.16546762589928057,0.30935251798561153,0.460431654676259,0.23741007194244604,0.2158273381294964,0.302158273381295,0.11510791366906475
the dream-quest of unknown kadath,0.2857142857142857,0.24277210884353742,0.22151360544217688,0.41709183673469385,0.2372448979591837,0.358843537414966,0.13860544217687074,0.2465986394557823,-0.26700680272108845
the dreams in the witch house,0.2670807453416149,0.2186335403726708,0.25217391304347825,0.4248447204968944,0.19130434782608696,0.3416149068322981,0.15403726708074533,0.2745341614906832,-0.2857142857142857
the dunwich horror,0.31104033970276007,0.21443736730360935,0.24097664543524416,0.4182590233545648,0.21019108280254778,0.3174097664543524,0.18471337579617833,0.2908704883227176,-0.22399150743099788
the evil clergyman,0.23076923076923078,0.23076923076923078,0.16483516483516483,0.42857142857142855,0.27472527472527475,0.2967032967032967,0.21978021978021978,0.3076923076923077,-0.14285714285714285
the festival,0.28703703703703703,0.23148148148148148,0.26851851851851855,0.4722222222222222,0.22685185185185186,0.375,0.1388888888888889,0.2175925925925926,-0.3611111111111111
the haunter of the dark,0.29890453834115804,0.2222222222222222,0.215962441314554,0.4272300469483568,0.2237871674491393,0.3380281690140845,0.13928012519561817,0.30672926447574334,-0.24100156494522693
the horror at martin's beach,0.31958762886597936,0.23195876288659795,0.211340206185567,0.4742268041237113,0.1958762886597938,0.34536082474226804,0.21649484536082475,0.24742268041237114,-0.25773195876288657
